FEI Number,Legal Name,State,Country/Area,Product Type,Action Taken Date,Action Type,Case/Injunction ID
3015118914,KABANA SKIN CARE,Colorado,United States,Drugs,2025-07-18,Warning Letter,710232
3029236854,Gussyup LLC (dba Private Label Grooming),Nevada,United States,Drugs,2025-07-16,Warning Letter,709488
2083373,"Oasis Medical, Inc.",California,United States,Drugs,2025-07-15,Warning Letter,707198
3008565058,Glenmark Pharmaceuticals Limited,-,India,Drugs,2025-07-11,Warning Letter,708270
3012853845,"NATURE'S FUSIONS, LLC",Utah,United States,Drugs,2025-07-10,Warning Letter,707024
3017957591,SCOPE HEALTH,New York,United States,Drugs,2025-07-09,Warning Letter,695085
3010869749,Covalent Medical,Virginia,United States,Drugs,2025-07-09,Warning Letter,695839
2013736,Medical Chemical Corporation,California,United States,Drugs,2025-07-09,Warning Letter,706007
3022351866,"Thea Pharma, Inc.",Massachusetts,United States,Drugs,2025-07-09,Warning Letter,712416
3038344092,Revitalize Energy Inc.,Pennsylvania,United States,Drugs,2025-07-09,Warning Letter,712417
3032071869,"EyeTech One, LLC",Florida,United States,Drugs,2025-07-09,Warning Letter,712438
3027918571,"O3UV, LLC",Michigan,United States,Biologics,2025-07-07,Warning Letter,668840
3008563008,Exela Pharma Sciences LLC,North Carolina,United States,Drugs,2025-07-02,Warning Letter,709859
3003350069,"Private Label Partners, Inc.",California,United States,Drugs,2025-07-02,Warning Letter,709912
2912388,"Libby Laboratories, Inc.",California,United States,Drugs,2025-06-27,Warning Letter,708259
1000448124,"Daewoo Pharmaceutical Co., Ltd.",-,-,Drugs,2025-06-26,Warning Letter,706371
3030218581,"Mark Savant, M.D.",California,United States,Drugs,2025-06-26,Warning Letter,712306
3010314796,"Xtreme Tools International, Inc",Florida,United States,Drugs,2025-06-25,Warning Letter,706053
3038321796,"7Tabz Retail, LLC",Florida,United States,Drugs,2025-06-25,Warning Letter,709546
3018102311,WHITE LABEL LEAF LLC,Florida,United States,Drugs,2025-06-25,Warning Letter,709546
3038292919,Hydroxie LLC,California,United States,Drugs,2025-06-25,Warning Letter,709661
3013719300,"Dynamic Blending Specialists, Inc.",Utah,United States,Drugs,2025-06-18,Warning Letter,701278
3021033904,Pushclean Technology Plastik Sanayi Ve Ticaret Ltd. Sirketi,-,Turkey,Drugs,2025-06-16,Warning Letter,709156
3004744097,"InVia Fertility Specialists, PLLC",Illinois,United States,Biologics,2025-06-13,Warning Letter,710632
3022380309,KENIL HEALTHCARE PRIVATE LIMITED,-,India,Drugs,2025-06-12,Warning Letter,704786
3028192440,Healwell Homeo Private Limited,-,India,Drugs,2025-06-12,Warning Letter,706206
3016555297,HORIZON TOOL INC,North Carolina,United States,Drugs,2025-06-06,Warning Letter,706567
3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",-,China,Drugs,2025-06-06,Warning Letter,707145
3007309337,Sterling Distributors,Florida,United States,Drugs,2025-06-05,Warning Letter,706508
3036234159,Nefeteri Wellness,North Carolina,United States,Drugs,2025-05-30,Warning Letter,709332
3033048118,BIO WELLNESS 444,Florida,United States,Drugs,2025-05-30,Warning Letter,709333
3013538760,"Amish Origins Management, LLC",Wyoming,United States,Drugs,2025-05-29,Warning Letter,704166
3008226137,Laboratoires Druide inc.,-,Canada,Drugs,2025-05-29,Warning Letter,705517
3015867295,"Sprout Pharmaceuticals, Inc",North Carolina,United States,Drugs,2025-05-29,Warning Letter,709942
3014253278,CTK OTC Laboratories LLC,California,United States,Drugs,2025-05-19,Warning Letter,705479
3016734050,"Zhejiang Easyclean Daily Chemical Co., Ltd.",-,China,Drugs,2025-05-14,Warning Letter,702295
3014581785,"Evi International Group, LLC",Florida,United States,Drugs,2025-05-14,Warning Letter,705846
3013433273,"AACE Pharmaceuticals, Inc.",New Jersey,United States,Drugs,2025-05-13,Warning Letter,701310
3023272193,Product Society LLC,California,United States,Drugs,2025-05-08,Warning Letter,702927
3007058211,Excelvision,-,France,Drugs,2025-05-07,Warning Letter,703245
3017473850,"Staska Pharmaceuticals, Inc.",Nebraska,United States,Drugs,2025-05-05,Warning Letter,699291
3034929505,Supreme Rejuvenation,Texas,United States,Biologics,2025-05-05,Warning Letter,700749
3016905536,"Ningbo Riway Industrial Co., Ltd.",-,China,Drugs,2025-04-30,Warning Letter,692870
3002806978,Rechon Life Science AB,-,Sweden,Drugs,2025-04-30,Warning Letter,701040
3030358101,"American Behavioral Research Institute, LLC",Florida,United States,Drugs,2025-04-30,Warning Letter,705629
3029994548,"Nana Barseghian, M.D.",California,United States,Drugs,2025-04-28,Warning Letter,708009
3021979313,SARFEZ PHARMACEUTICALS INC,Virginia,United States,Drugs,2025-04-25,Warning Letter,708901
3014549846,OSRX Inc.,Montana,United States,Drugs,2025-04-23,Warning Letter,701889
3016994737,"Amazon.com, Inc.",Washington,United States,Drugs,2025-04-17,Warning Letter,689355
3017219182,"Dyno Manufacturing, Inc.",Illinois,United States,Drugs,2025-04-15,Warning Letter,700785
3027036172,BEO Pharma Inc,Florida,United States,Drugs,2025-04-15,Warning Letter,701364
3016787260,"Shantou S.E.Z Baojie Industry Co., Ltd.",-,China,Drugs,2025-04-15,Warning Letter,703439
3000220439,"Cosco International, Inc.",Georgia,United States,Drugs,2025-04-14,Warning Letter,701209
3022483154,Tailstorm Health INC,Arizona,United States,Drugs,2025-04-08,Warning Letter,703497
3016774658,PMS4PMS,New York,United States,Drugs,2025-04-07,Warning Letter,700180
3006851654,"Wuxi Medical lnstrument Factory Co., Ltd.",-,China,Drugs,2025-04-04,Warning Letter,701044
3011887629,Empower Pharmacy,Texas,United States,Drugs,2025-04-02,Warning Letter,700962
3021758709,"Empower Clinic Services, LLC dba Empower Pharmacy",Texas,United States,Drugs,2025-04-02,Warning Letter,700964
3014244255,"Taizhou Jingshang Cosmetics Technology Co., Ltd.",-,China,Drugs,2025-04-02,Warning Letter,701945
3003696942,NWL Netherlands Services B.V.,-,Netherlands,Drugs,2025-04-01,Warning Letter,701206
3011773798,"Prodose, Inc.",New York,United States,Drugs,2025-03-28,Warning Letter,654751
3011640199,Yiling Pharmaceutical Ltd.,-,China,Drugs,2025-03-27,Warning Letter,699738
3032529332,Comercializadora La Superior,-,Mexico,Drugs,2025-03-26,Warning Letter,701480
3027766355,Naturista Store,California,United States,Drugs,2025-03-26,Warning Letter,701480
3026147808,Amy Lightner MD,Ohio,United States,Biologics,2025-03-25,Warning Letter,682593
3015509166,Bioasia Worldwide Sdn Bhd,-,Malaysia,Drugs,2025-03-25,Warning Letter,700093
3005543486,"Huangshi Hygienic Material Medicine Co., Ltd.",-,China,Drugs,2025-03-24,Warning Letter,700658
3015156709,"BPI Labs, LLC",Florida,United States,Drugs,2025-03-20,Warning Letter,699533
3009963974,"Advanced Pharmaceutical Technology, Inc.",New York,United States,Drugs,2025-03-14,Warning Letter,692576
3011346498,"Yangzhou Sion Commodity Co., Ltd.",-,China,Drugs,2025-03-13,Warning Letter,699183
3015118914,KABANA SKIN CARE,Colorado,United States,Drugs,2025-03-12,Warning Letter,688254
3014445455,Colabs Intl Corp,California,United States,Drugs,2025-03-12,Warning Letter,688285
3021774223,WAXHEAD SUN DEFENSE COMPANY,Florida,United States,Drugs,2025-03-12,Warning Letter,688286
3018589922,Neva Global Grup Sanayi Ic Ve Dis Ticaret Anonim Sirketi,-,Turkey,Drugs,2025-03-12,Warning Letter,699000
3033264330,MG Infusions,Florida,United States,Biologics,2025-03-10,Warning Letter,696890
3006403166,"International Laboratories Corp., Limited",-,Thailand,Drugs,2025-03-10,Warning Letter,698522
3034879978,Pico IV Inc.,California,United States,Drugs,2025-03-06,Warning Letter,700591
3020928491,"Annovex Pharma, Inc.",Virginia,United States,Drugs,2025-03-05,Warning Letter,698115
3015794560,MACSEN DRUGS,-,India,Drugs,2025-03-05,Warning Letter,698202
3012796281,"Aspen Biopharma Labs Pvt., Ltd.",-,India,Drugs,2025-03-05,Warning Letter,698665
3030396555,"Mehran Michael Bahrami, M.D.",Florida,United States,Drugs,2025-03-05,Warning Letter,703689
3017845321,C & A Naturistics,California,United States,Drugs,2025-03-04,Warning Letter,693439
3016994737,"Amazon.com, Inc.",Washington,United States,Drugs,2025-03-03,Warning Letter,695821
3009790069,"Amazon.com, LLC",New Jersey,United States,Drugs,2025-03-03,Warning Letter,695821
3030591243,FILLER LUX,New York,United States,Drugs,2025-03-03,Warning Letter,699221
3031677657,FILLER LUX,New York,United States,Drugs,2025-03-03,Warning Letter,699221
3033935535,Fox Pharma LLC,Pennsylvania,United States,Drugs,2025-03-03,Warning Letter,699225
3033935567,Vivid-Scientific LLC,North Carolina,United States,Drugs,2025-03-03,Warning Letter,699226
3034408379,Julian Naya Beauty LLC,California,United States,Drugs,2025-03-03,Warning Letter,699782
3030230743,Hyaluron Pen Store,Illinois,United States,Drugs,2025-03-03,Warning Letter,700256
3023480887,HYALURON PEN STORE LLC,Illinois,United States,Drugs,2025-03-03,Warning Letter,700256
3011845012,Shree Jaya Laboratories,-,India,Drugs,2025-02-28,Warning Letter,698690
3004097901,Granules India Limited,-,India,Drugs,2025-02-26,Warning Letter,697115
3032764599,Tktx Numb Store,Ohio,United States,Drugs,2025-02-25,Warning Letter,697051
3015248821,"Linghai ZhanWang Biotechnology Co., Ltd",-,China,Drugs,2025-02-25,Warning Letter,697983
3032764602,Tktx Store,California,United States,Drugs,2025-02-25,Warning Letter,698371
3032764588,Tktx USA,California,United States,Drugs,2025-02-25,Warning Letter,698435
3032764607,Tktx Numbing Cream USA,California,United States,Drugs,2025-02-25,Warning Letter,702106
3007490529,Aspen SA Sterile Operations (Pty) Ltd.,-,South Africa,Drugs,2025-02-24,Warning Letter,701671
3005211905,"Sperm Bank, Inc",California,United States,Biologics,2025-02-14,Warning Letter,694273
3032916295,Zenzi Pharmaceutical Industries Private Limited,-,India,Drugs,2025-02-13,Warning Letter,701130
1927341,"Chem-Tech, Ltd.",Iowa,United States,Drugs,2025-02-11,Warning Letter,696920
3020570829,ABR Laboratory LLC,Florida,United States,Drugs,2025-02-10,Warning Letter,696872
3014740544,Marshalls Traditional Healthcare CC,-,South Africa,Drugs,2025-02-10,Warning Letter,697697
3004790309,Tyche Industries Ltd.,-,India,Drugs,2025-02-06,Warning Letter,693081
3004153045,Jagsonpal Pharmaceuticals Ltd.,-,India,Drugs,2025-02-05,Warning Letter,693134
3027222600,"CHENGDU INNOVATION PHARMACEUTICAL CO.,LTD",-,China,Drugs,2025-02-05,Warning Letter,698786
3011513461,"ISOThrive, Inc.",California,United States,Drugs,2025-02-04,Warning Letter,688547
3014438694,"Wuhu Nuowei Chemistry Co., Ltd",-,China,Drugs,2025-02-04,Warning Letter,697727
3000205837,Strukmyer LLC,Texas,United States,Drugs,2025-01-30,Warning Letter,692686
3009569638,AmWiner & Raphe Holdings LLC,Texas,United States,Drugs,2025-01-29,Warning Letter,698782
1000337046,Rite-Kem Incorporated,Mississippi,United States,Drugs,2025-01-28,Warning Letter,697272
3016825286,"Shantou Kangjie Daily Chemical Industry Co., Ltd",-,China,Drugs,2025-01-28,Warning Letter,698223
3014838570,IMPERIAL PALACE COMMODITY DONGGUAN CO LTD,-,China,Drugs,2025-01-27,Warning Letter,692842
3009350497,China Pharmaceutical University,-,China,Drugs,2025-01-27,Warning Letter,696906
3012634391,Kardesler Ucan Yaglar Sanayi Anonim Sirketi,-,Turkey,Drugs,2025-01-21,Warning Letter,695413
3013239405,BioStem Life Sciences,Florida,United States,Biologics,2025-01-17,Warning Letter,673788
3015265204,"Chara Biologics, Inc.",California,United States,Biologics,2025-01-17,Warning Letter,698004
3005285276,"Americo F. Padilla, MD",Florida,United States,Drugs,2025-01-17,Warning Letter,700447
3004094136,Global Calcium Pvt. Limited,-,India,Drugs,2025-01-16,Warning Letter,692000
3023041227,"Guangxi Nanning Zhenpeng Biotechnology Co., Ltd",-,China,Drugs,2025-01-16,Warning Letter,698165
3032246954,Mihon Corp.,California,United States,Drugs,2025-01-16,Warning Letter,698165
3032298411,Mihon Corp.,California,United States,Drugs,2025-01-16,Warning Letter,698165
1220423,Genzyme Corporation,Massachusetts,United States,Drugs,2025-01-15,Warning Letter,690604
3016837288,"Atlanta Supersource, Inc.",Georgia,United States,Drugs,2025-01-08,Warning Letter,693399
3022250654,ProRx LLC,Pennsylvania,United States,Drugs,2024-12-20,Warning Letter,696742
3010453141,Mylan Laboratories Limited,-,India,Drugs,2024-12-19,Warning Letter,690897
3012104093,Fagron Compounding Services,Kansas,United States,Drugs,2024-12-19,Warning Letter,698861
3012809762,Bhargava Phytolab Private Limited,-,India,Drugs,2024-12-18,Warning Letter,691610
